numero_cuenta,nombre_estudiante,nombre_materia,calificacion,promedio,bandera
312232204,Vania Castellanos Juarez,Dispositivos y Circuitos Electricos,9,7.55,1
312232205,Karina Matamoroz,Dispositivos y Circuitos Electricos,8,7.55,1
312232206,Alexdr Nikolenko,Dispositivos y Circuitos Electricos,10,7.55,1
312232209,David Romero Mendoza,Dispositivos y Circuitos Electricos,10,7.55,1
312232214,Ruben Arturo Hernandez Rosas,Dispositivos y Circuitos Electricos,8,7.55,1
312232193,Maria Barriga Sandoval,Sistemas de Comunicacion,8,7.15,1
312232194,Wilfredo Corominas Zabala,Sistemas de Comunicacion,8,7.15,1
312232195,Dalila Sanmiguel Pedrosa,Sistemas de Comunicacion,10,7.15,1
312232198,Nico Verdugo Blanes,Sistemas de Comunicacion,8,7.15,1
312232200,Kike Vicens Bou,Sistemas de Comunicacion,9,7.15,1
312232203,Diego Luz Alvares,Sistemas de Comunicacion,8,7.15,1
312232206,Alexdr Nikolenko,Sistemas de Comunicacion,8,7.15,1
312232209,David Romero Mendoza,Sistemas de Comunicacion,10,7.15,1
312232215,Javier Aguirre Cruz,Sistemas de Comunicacion,10,7.15,1
312232195,Dalila Sanmiguel Pedrosa,Micro Computadoras,10,7.1,1
312232196,Anastasia Cruz Salazar,Micro Computadoras,10,7.1,1
312232200,Kike Vicens Bou,Micro Computadoras,8,7.1,1
312232202,Alberto Herrera Cortez,Micro Computadoras,8,7.1,1
312232209,David Romero Mendoza,Micro Computadoras,8,7.1,1
312232211,Javier Cruz Rojas,Micro Computadoras,8,7.1,1
312232212,Fanny Rojas Tello,Micro Computadoras,10,7.1,1
312232213,Christian Oliva Jimenez,Micro Computadoras,9,7.1,1
312232214,Ruben Arturo Hernandez Rosas,Micro Computadoras,8,7.1,1
312232195,Dalila Sanmiguel Pedrosa,Etica Profesional,7,6.45,1
312232196,Anastasia Cruz Salazar,Etica Profesional,9,6.45,1
312232198,Nico Verdugo Blanes,Etica Profesional,7,6.45,1
312232203,Diego Luz Alvares,Etica Profesional,7,6.45,1
312232204,Vania Castellanos Juarez,Etica Profesional,9,6.45,1
312232205,Karina Matamoroz,Etica Profesional,9,6.45,1
312232209,David Romero Mendoza,Etica Profesional,7,6.45,1
312232211,Javier Cruz Rojas,Etica Profesional,7,6.45,1
312232213,Christian Oliva Jimenez,Etica Profesional,7,6.45,1
312232195,Dalila Sanmiguel Pedrosa,Bases de Datos ,8,7.92,1
312232196,Anastasia Cruz Salazar,Bases de Datos ,8,7.92,1
312232198,Nico Verdugo Blanes,Bases de Datos ,10,7.92,1
312232199,Rosalva Vargas,Bases de Datos ,10,7.92,1
312232202,Alberto Herrera Cortez,Bases de Datos ,9,7.92,1
312232203,Diego Luz Alvares,Bases de Datos ,9,7.92,1
312232206,Alexdr Nikolenko,Bases de Datos ,8,7.92,1
312232208,Daiara Saldana,Bases de Datos ,10,7.92,1
312232195,Dalila Sanmiguel Pedrosa,Compiladores,10,8.15,1
312232198,Nico Verdugo Blanes,Compiladores,9,8.15,1
312232199,Rosalva Vargas,Compiladores,10,8.15,1
312232200,Kike Vicens Bou,Compiladores,9,8.15,1
312232204,Vania Castellanos Juarez,Compiladores,9,8.15,1
312232206,Alexdr Nikolenko,Compiladores,9,8.15,1
312232208,Daiara Saldana,Compiladores,9,8.15,1
312232198,Nico Verdugo Blanes,Administracion de Proyectos,9,7.15,1
312232200,Kike Vicens Bou,Administracion de Proyectos,8,7.15,1
312232202,Alberto Herrera Cortez,Administracion de Proyectos,8,7.15,1
312232204,Vania Castellanos Juarez,Administracion de Proyectos,10,7.15,1
312232209,David Romero Mendoza,Administracion de Proyectos,9,7.15,1
312232195,Dalila Sanmiguel Pedrosa,Redes de Datos,10,7.46,1
312232196,Anastasia Cruz Salazar,Redes de Datos,9,7.46,1
312232199,Rosalva Vargas,Redes de Datos,9,7.46,1
312232202,Alberto Herrera Cortez,Redes de Datos,9,7.46,1
312232204,Vania Castellanos Juarez,Redes de Datos,9,7.46,1
312232205,Karina Matamoroz,Redes de Datos,8,7.46,1
312232196,Anastasia Cruz Salazar,Computacion Grafica,9,7.62,1
312232198,Nico Verdugo Blanes,Computacion Grafica,9,7.62,1
312232199,Rosalva Vargas,Computacion Grafica,10,7.62,1
312232200,Kike Vicens Bou,Computacion Grafica,8,7.62,1
312232206,Alexdr Nikolenko,Computacion Grafica,8,7.62,1
312232208,Daiara Saldana,Computacion Grafica,9,7.62,1
312232209,David Romero Mendoza,Computacion Grafica,8,7.62,1
312232200,Kike Vicens Bou,Bases de Datos Avanzadas,9,7.0,1
312232199,Rosalva Vargas,Bases de Datos Espaciales,9,7.33,1
312232203,Diego Luz Alvares,Arquitectura de Computadoras,8,7.62,1
312232204,Vania Castellanos Juarez,Arquitectura de Computadoras,10,7.62,1
312232205,Karina Matamoroz,Arquitectura de Computadoras,8,7.62,1
312232206,Alexdr Nikolenko,Arquitectura de Computadoras,9,7.62,1
312232207,Jorge Jimenez Palma,Arquitectura de Computadoras,8,7.62,1
